message,run_number,timestamp,avg_score,gender,age,agreement,attitude_change,clarity,credibility,emotional_impact,engagement_intention,memorability,persuasiveness,relevance,trustworthiness
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",10,2026-01-26T08:13:34.630779Z,6.5,Female,18-24,4.0,4.0,9.0,5.0,8.0,7.0,7.0,5.0,10.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",4,2026-01-26T08:13:34.825638Z,5.8,Female,18-24,3.0,2.0,9.0,5.0,7.0,6.0,7.0,4.0,9.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",7,2026-01-26T08:13:35.449574Z,5.9,Female,18-24,4.0,4.0,5.0,6.0,6.0,7.0,7.0,5.0,9.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",1,2026-01-26T08:13:35.569728Z,5.7,Female,18-24,4.0,3.0,5.0,4.0,7.0,8.0,6.0,5.0,9.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",2,2026-01-26T08:13:35.808638Z,5.4,Female,18-24,4.0,3.0,7.0,3.0,7.0,6.0,6.0,4.0,9.0,5.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",9,2026-01-26T08:13:36.005162Z,5.4,Female,18-24,3.0,2.0,7.0,3.0,7.0,8.0,6.0,4.0,9.0,5.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",6,2026-01-26T08:13:36.563384Z,6.1,Female,18-24,3.0,4.0,5.0,6.0,7.0,8.0,7.0,5.0,9.0,7.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",3,2026-01-26T08:13:36.741212Z,5.5,Female,18-24,3.0,2.0,9.0,3.0,7.0,7.0,6.0,4.0,9.0,5.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",8,2026-01-26T08:13:36.790644Z,6.2,Female,18-24,5.0,4.0,8.0,4.0,7.0,7.0,7.0,5.0,9.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",5,2026-01-26T08:13:36.946818Z,5.9,Female,18-24,5.0,4.0,8.0,4.0,7.0,5.0,6.0,5.0,9.0,6.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",2,2026-01-26T08:13:38.884927Z,6.1,Female,18-24,7.0,4.0,10.0,3.0,6.0,5.0,8.0,5.0,9.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",1,2026-01-26T08:13:39.457565Z,5.6,Female,18-24,5.0,3.0,10.0,2.0,6.0,5.0,8.0,4.0,9.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",4,2026-01-26T08:13:39.751708Z,5.7,Female,18-24,6.0,4.0,10.0,2.0,6.0,5.0,8.0,4.0,9.0,3.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",3,2026-01-26T08:13:40.463030Z,5.7,Female,18-24,6.0,4.0,9.0,3.0,5.0,6.0,7.0,4.0,8.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",5,2026-01-26T08:13:40.463245Z,5.9,Female,18-24,6.0,4.0,10.0,3.0,6.0,5.0,8.0,4.0,9.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",6,2026-01-26T08:13:40.825895Z,6.6,Female,18-24,7.0,5.0,10.0,3.0,6.0,7.0,8.0,5.0,9.0,6.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",10,2026-01-26T08:13:41.281257Z,5.9,Female,18-24,7.0,4.0,10.0,2.0,6.0,5.0,8.0,4.0,9.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",8,2026-01-26T08:13:41.481856Z,5.7,Female,18-24,5.0,3.0,10.0,3.0,6.0,4.0,8.0,4.0,9.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",9,2026-01-26T08:13:42.028282Z,6.5,Female,18-24,6.0,5.0,9.0,3.0,7.0,8.0,8.0,5.0,9.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",7,2026-01-26T08:13:43.839795Z,6.4,Female,18-24,7.0,6.0,9.0,3.0,6.0,6.0,8.0,5.0,8.0,6.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",1,2026-01-26T08:13:47.982967Z,4.6,Female,18-24,4.0,2.0,6.0,2.0,5.0,6.0,7.0,3.0,8.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",6,2026-01-26T08:13:49.268727Z,3.7,Female,18-24,1.0,0.0,5.0,1.0,7.0,6.0,6.0,2.0,8.0,1.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",2,2026-01-26T08:13:49.696218Z,4.0,Female,18-24,1.0,1.0,5.0,1.0,7.0,6.0,6.0,2.0,9.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",8,2026-01-26T08:13:50.951614Z,3.7,Female,18-24,1.0,1.0,5.0,1.0,6.0,4.0,6.0,2.0,9.0,2.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",1,2026-01-26T08:13:51.279349Z,8.6,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,9.0,9.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",4,2026-01-26T08:13:51.626736Z,4.8,Female,18-24,3.0,2.0,6.0,2.0,7.0,6.0,6.0,3.0,9.0,4.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",7,2026-01-26T08:13:51.773441Z,4.2,Female,18-24,1.0,1.0,6.0,1.0,7.0,6.0,7.0,2.0,9.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",3,2026-01-26T08:13:52.133831Z,4.6,Female,18-24,2.0,1.0,6.0,2.0,6.0,7.0,7.0,3.0,9.0,3.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",2,2026-01-26T08:13:52.145753Z,8.7,Female,18-24,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",3,2026-01-26T08:13:52.309827Z,8.9,Female,18-24,9.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",5,2026-01-26T08:13:52.444059Z,3.9,Female,18-24,1.0,1.0,6.0,1.0,7.0,5.0,6.0,2.0,8.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",9,2026-01-26T08:13:52.869056Z,4.4,Female,18-24,1.0,1.0,6.0,1.0,7.0,8.0,6.0,2.0,9.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",10,2026-01-26T08:13:53.360673Z,4.0,Female,18-24,1.0,1.0,6.0,1.0,7.0,5.0,6.0,2.0,9.0,2.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",4,2026-01-26T08:13:53.545108Z,8.7,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",5,2026-01-26T08:13:54.172973Z,8.7,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",6,2026-01-26T08:13:54.428475Z,8.7,Female,18-24,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",7,2026-01-26T08:13:55.034618Z,8.9,Female,18-24,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",8,2026-01-26T08:13:55.290721Z,8.5,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",9,2026-01-26T08:13:55.523731Z,8.6,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,9.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",10,2026-01-26T08:13:55.645535Z,8.9,Female,18-24,9.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",3,2026-01-26T08:13:57.256592Z,7.2,Female,18-24,7.0,6.0,9.0,5.0,8.0,7.0,7.0,6.0,9.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",1,2026-01-26T08:13:57.257531Z,7.1,Female,18-24,6.0,6.0,9.0,5.0,7.0,8.0,7.0,6.0,9.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",4,2026-01-26T08:13:58.358556Z,7.0,Female,18-24,6.0,5.0,9.0,5.0,8.0,7.0,7.0,6.0,9.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",6,2026-01-26T08:13:58.652351Z,7.5,Female,18-24,6.0,6.0,10.0,5.0,8.0,9.0,7.0,6.0,10.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",5,2026-01-26T08:13:59.120298Z,6.4,Female,18-24,5.0,5.0,9.0,5.0,6.0,7.0,6.0,6.0,8.0,7.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",2,2026-01-26T08:13:59.457085Z,7.1,Female,18-24,6.0,5.0,9.0,5.0,7.0,8.0,7.0,6.0,10.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",7,2026-01-26T08:13:59.695131Z,7.0,Female,18-24,6.0,5.0,9.0,5.0,8.0,8.0,7.0,6.0,9.0,7.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,1,2026-01-26T08:13:59.930697Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",8,2026-01-26T08:14:00.222208Z,6.7,Female,18-24,6.0,6.0,9.0,5.0,7.0,7.0,6.0,6.0,8.0,7.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",9,2026-01-26T08:14:00.432048Z,7.2,Female,18-24,6.0,6.0,9.0,5.0,8.0,8.0,7.0,6.0,9.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,2,2026-01-26T08:14:00.443829Z,9.3,Female,18-24,10.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,3,2026-01-26T08:14:00.729559Z,8.9,Female,18-24,10.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",10,2026-01-26T08:14:00.857262Z,7.1,Female,18-24,5.0,5.0,9.0,6.0,8.0,7.0,7.0,6.0,10.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,4,2026-01-26T08:14:01.456360Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,5,2026-01-26T08:14:01.965906Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,7,2026-01-26T08:14:02.290582Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,6,2026-01-26T08:14:02.477936Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,8,2026-01-26T08:14:02.791288Z,8.9,Female,18-24,10.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,9,2026-01-26T08:14:02.928595Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,10,2026-01-26T08:14:03.726309Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",1,2026-01-26T08:14:08.061198Z,8.2,Female,18-24,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",3,2026-01-26T08:14:08.117182Z,8.2,Female,18-24,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",2,2026-01-26T08:14:09.338995Z,8.8,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",4,2026-01-26T08:14:09.473108Z,8.4,Female,18-24,9.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",8,2026-01-26T08:14:09.787208Z,8.2,Female,18-24,9.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",5,2026-01-26T08:14:10.017591Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",7,2026-01-26T08:14:10.152817Z,8.4,Female,18-24,9.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",9,2026-01-26T08:14:10.159880Z,8.4,Female,18-24,9.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",6,2026-01-26T08:14:10.507358Z,8.4,Female,18-24,9.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",1,2026-01-26T08:14:11.390342Z,8.7,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",10,2026-01-26T08:14:11.874607Z,8.6,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",2,2026-01-26T08:14:11.930382Z,8.5,Female,18-24,9.0,8.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",3,2026-01-26T08:14:12.093236Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",4,2026-01-26T08:14:12.341333Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",7,2026-01-26T08:14:13.047114Z,8.2,Female,18-24,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",8,2026-01-26T08:14:13.623585Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",6,2026-01-26T08:14:13.639798Z,8.6,Female,18-24,9.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,10.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",9,2026-01-26T08:14:13.828622Z,8.6,Female,18-24,9.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,10.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",5,2026-01-26T08:14:14.220614Z,8.1,Female,18-24,9.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",2,2026-01-26T08:14:14.408574Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",1,2026-01-26T08:14:15.482920Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",3,2026-01-26T08:14:15.617621Z,8.2,Female,18-24,9.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",4,2026-01-26T08:14:15.883236Z,8.3,Female,18-24,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",10,2026-01-26T08:14:15.991140Z,8.5,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",7,2026-01-26T08:14:16.407182Z,8.6,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",5,2026-01-26T08:14:16.612523Z,8.9,Female,18-24,9.0,9.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",6,2026-01-26T08:14:16.799868Z,8.2,Female,18-24,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0
